"ego_id","alter_id","ego_section","alter_section"
16,43,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
16,25,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,67,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,20,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,69,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
16,62,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
17,12,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,8,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
17,50,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,38,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,32,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
17,17,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,23,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
17,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,63,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,9,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,24,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,35,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,64,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,57,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,13,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,18,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
18,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,5,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,63,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,9,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,24,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,11,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,12,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,14,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,15,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,37,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,65,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,8,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,29,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,58,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,19,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,21,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,2,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,28,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,16,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,49,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,68,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,50,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,22,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,54,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,60,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,38,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,52,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,32,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,17,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,23,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,34,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,46,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,48,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,36,"SP25-MSBR-70340-01","SP25-MSBR-70340-01"
19,25,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,20,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
19,62,"SP25-MSBR-70340-01","SP25-MSBR-70340-02"
20,5,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,51,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,6,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,47,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,24,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,35,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,11,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,12,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,14,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,64,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,15,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,57,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,37,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,65,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,8,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,13,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,40,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,45,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,29,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,58,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,19,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,21,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,26,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,2,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,28,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,16,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,49,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,18,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,3,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,66,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,68,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,50,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,22,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,41,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,42,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,54,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,55,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,60,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,39,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,38,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,53,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,56,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,10,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,17,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,7,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,33,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,23,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,1,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,34,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,46,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,4,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,27,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,48,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,59,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,36,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,43,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,25,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,31,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
20,67,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,20,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,30,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,69,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
20,62,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,9,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,11,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,12,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,37,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,65,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,29,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,58,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,19,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,2,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,16,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,49,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,3,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,41,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,54,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,39,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,61,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,52,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,32,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,17,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
21,7,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,34,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,25,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,20,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
21,62,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,6,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,47,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,44,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,14,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,15,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,57,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
22,65,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,45,"SP25-MSBR-70340-02","SP25-MSBR-70340-02"
22,29,"SP25-MSBR-70340-02","SP25-MSBR-70340-01"
